genus	FT	CT	BT	FW	CW	BW
Ulvibacter	0	10.83333333	0	0.833333333	11.66666667	0.666666667
unclassified_f__Planococcaceae	1	0	0	23	0	0
Chryseomicrobium	21.66666667	0	0	2	0	0
Panacagrimonas	0	23.16666667	0	0	0.5	0
Halobacteriovorax	21.83333333	0	0	0.333333333	0.333333333	0
Lactobacillus	21.33333333	0	0	0	0	1
Bizionia	2.166666667	0	0.5	0	2.5	17
Glutamicibacter	19.33333333	0	0	0	2.5	0
norank_o__Candidatus_Colwellbacteria	0	0	0	18.33333333	3.5	0
Streptococcus	21.5	0	0	0	0	0
norank_o__Rhodospirillales	21.16666667	0	0	0.333333333	0	0
norank_o__Candidatus_Buchananbacteria	0.5	0	0	13.66666667	7.166666667	0
Lawsonella	21.16666667	0	0	0	0	0
Synechococcus_CC9902	14.83333333	2.5	0	1.5	2.333333333	0
norank_f__Simkaniaceae	0	1.833333333	1.666666667	16	0.333333333	1.166666667
norank_o__Candidatus_Peribacteria	0	0	0	17.66666667	3	0
Salinimonas	0.5	0.666666667	0.833333333	1.666666667	16.33333333	0
Crocinitomix	6.833333333	6.166666667	6	0	0	0.666666667
norank_o__Blfdi19	15.16666667	0	0	4.5	0	0
Halioxenophilus	1.833333333	1.166666667	0	15.83333333	0	0
Aurantivirga	16.16666667	0	0	0	2	0
Novosphingobium	16.83333333	0	0	1.333333333	0	0
Delftia	18	0	0	0	0	0
NS5_marine_group	3.333333333	0.5	0	0.666666667	13.33333333	0
Leucobacter	15.83333333	1.166666667	0	0	0	0
norank_f__Cyclobacteriaceae	0	16.5	0.5	0	0	0
norank_o__Candidatus_Magasanikbacteria	0	0	0	15	1.833333333	0
norank_o__Kapabacteriales	0	6.333333333	8.333333333	0	1.5	0.5
Fabibacter	9.5	6.833333333	0	0	0	0
unclassified_f__Xanthomonadaceae	0	7.5	7.166666667	0	1.666666667	0
Pedobacter	2.833333333	0	2.166666667	1.666666667	0	9.5
norank_f__unclassified_o__Gammaproteobacteria_Incertae_Sedis	0	5.333333333	2.166666667	7.666666667	1	0
Jannaschia	6.166666667	1	0	6.833333333	1.333333333	0.5
Hoeflea	1	10	1.166666667	0.166666667	3.333333333	0
Spirochaeta_2	15.66666667	0	0	0	0	0
SM1A02	0	7.666666667	1.5	1.833333333	4.166666667	0.333333333
Euzebyella	1.333333333	2.666666667	5.5	0	4.5	1.166666667
Micrococcus	14.33333333	0	0	0	0	0
norank_f__Chlamydiaceae	0	0.333333333	0	14	0	0
Synechococcus_IR11	8.833333333	5.333333333	0	0	0	0
Vicingus	3.166666667	10.66666667	0.166666667	0	0	0
Pelagibacterium	14	0	0	0	0	0
Pseudohongiella	0	1.833333333	1	0.5	5	5.666666667
Pseudoteredinibacter	11.16666667	2.666666667	0	0	0	0
norank_f__Rhodobacteraceae	4.666666667	2.5	1.5	5	0	0
unclassified_c__Bacteroidia	0.5	6.166666667	5.5	0.666666667	0.666666667	0
Kangiella	7.833333333	3	2.333333333	0	0	0.333333333
Edaphobaculum	1.5	3	3.5	0	3.166666667	2.166666667
unclassified_f__Halomonadaceae	0	0.333333333	0.5	5.333333333	6.666666667	0.5
Aureimonas	12.83333333	0	0	0	0	0
Litoreibacter	0	12.16666667	0	0.666666667	0	0
unclassified_c__ABY1	0	0	0	12.16666667	0.5	0
Blastomonas	12.5	0	0	0	0	0
norank_f__NS9_marine_group	0	6.5	0	1	4.5	0
Peptoniphilus	12	0	0	0	0	0
norank_o__UBA10353_marine_group	0	1.333333333	0	10.5	0	0
unclassified_f__Comamonadaceae	10.83333333	0.833333333	0	0	0	0
unclassified_f__Methylophilaceae	0	3.666666667	1	6.333333333	0.666666667	0
Cellvibrio	1.5	10.16666667	0	0	0	0
Algoriphagus	5.166666667	0.5	0.5	0	2.333333333	2.833333333
Maricaulis	0.5	10.33333333	0	0.5	0	0
Labrenzia	0.5	6	0	3.5	1.166666667	0
Salinivibrio	11.16666667	0	0	0	0	0
Yangia	0	2	3.5	0	4.833333333	0.5
Porphyrobacter	10.83333333	0	0	0	0	0
unclassified_f__Halieaceae	0.5	8.5	0.166666667	0	1.666666667	0
